date,value,type
2022-06-08,0.012,zero
2022-07-08,0.0147,zero
2022-08-08,0.0181,zero
2022-11-08,0.0254,zero
2022-12-08,0.0277,zero
2023-03-08,0.0304,zero
2023-06-08,0.0311,zero
2023-09-08,0.0309,zero
2024-01-08,0.0295,zero
2024-04-08,0.0287,zero
2024-08-08,0.0279,zero
2024-11-08,0.0274,zero
2025-04-08,0.267,zero
2025-07-08,0.0264,zero
2025-11-08,0.0260,zero
