date,value,type
2022-06-09,0.0118,zero
2022-07-11,0.0152,zero
2022-08-09,0.0182,zero
2022-11-09,0.0256,zero
2022-12-09,0.028,zero
2023-03-09,0.0311,zero
2023-06-08,0.0311,zero
2023-09-08,0.0316,zero
2024-01-08,0.0307,zero
2024-04-08,0.0299,zero
2024-08-08,0.0290,zero
2024-11-08,0.0284,zero
2025-04-08,0.276,zero
2025-07-08,0.0271,zero
2025-11-08,0.0267,zero
