id,modelName,v0,vT,rho,kappa,sigma,lambda,muJ,sigmaJ
m_1,Bates1,0.30,0.10,0.35,10,0.50,0.55,-0.35,0.60
m_1,Bates5,0.6,0.8,-0.20,3.0,0.90,0.75,-0.3,0.80
m_1,Bates2,0.50,0.450,-0.35,1,0.550,0.65,+0.12,0.60
m_1,Bates3,0.30,0.50,-0.55,1,0.350,0.65,-0.25,0.8
08Jun_BTC_Bates_all_Strikes,Bates4,0.51,1.35,-0.55,2.0,4.450,0.65,-0.75,0.6
08Jun_BTC_Bates_OTM_Strikes,Bates6,0.3,0.4,-0.15,5.0,2.50,0.4,-0.2,0.8
11Jun_BTC_Bates_OTM_Strikes,Bates7,0.3,0.5,+0.15,5.0,1.50,0.4,-0.2,0.8
11Jun_ETH_Bates_OTM_Strikes,Bates,0.1,0.2,0.5,11.0,0.5,0.3,-0.2,0.5

